ClientID,StandardizedID,LocationID,Latitude,Longitude,Demand
1,C001,2,4.59795431125545,-74.09893796560621,13
2,C002,3,4.687820646838871,-74.07557103763986,15
3,C003,4,4.70949446000624,-74.10708524062704,12
4,C004,5,4.605029068682624,-74.09727965657427,15
5,C005,6,4.648463876533332,-74.16464148202755,20
6,C006,7,4.662137416953968,-74.12083799988112,17
7,C007,8,4.697499030379109,-74.02213076607309,17
8,C008,9,4.649416884236942,-74.17207549744595,20
9,C009,10,4.606310650273935,-74.15615257246444,20
10,C010,11,4.557379705282216,-74.09041145358674,15
11,C011,12,4.591594072172954,-74.17802255204528,17
12,C012,13,4.7564172406324055,-74.1015410917749,12
13,C013,14,4.646217006050524,-74.09690889182339,21
14,C014,15,4.725912125314368,-74.1219200708342,15
15,C015,16,4.604168478560718,-74.0942948461378,17
16,C016,17,4.557320898243896,-74.11138839002187,10
17,C017,18,4.615869066082658,-74.12463941285208,25
18,C018,19,4.656402930181292,-74.12456164551857,12
19,C019,20,4.706188309535041,-74.04990580408855,11
20,C020,21,4.746624762561149,-74.121866801394,15
21,C021,22,4.746517184687941,-74.02454895778163,14
22,C022,23,4.625425626584072,-74.08683592702927,18
23,C023,24,4.731406773645735,-74.11652648751144,15
24,C024,25,4.577489966973782,-74.12629327283491,11
